payee,purpose,classified
Big Eye Direct,"mail production costs, postage",mail voter contact
Senate Conservatives Fund,IE-Lee-Donation Processing,donation processing
Bridget Fagan-Reidburn,staff time and mileage,payroll
Club for Growth,phone solicitations (from advance line 21),phone voter contact
"Pound, Feinstein & Associates",Radio advertising (production),radio advertising
RED METRICS,DIGITAL MEDIA PRODUCTION/PLACEMENT,online advertising
"INTERNATIONAL DATA MANAGEMENT, INC.",DIRECT MAIL - POSTAGE,mail voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
REVOLUTION AGENCY,MEDIA PRODUCTION,tv advertising
CAMBRIDGE ANALYTICA LLC,MEDIA,advertising
DDC Advocacy,Voter contact-telephone calls,phone voter contact
"Facebook, Inc.",advertising for educational event,online advertising
"Target Enterprises, LLC",online advertising,online advertising
Mustard Seed Media LLC,IE-DeSantis-Email Marketing,email voter contact
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
National Association of REALTORS,Consulting Services,consulting
Club for Growth,internet communications (from advance line 21),online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
REVOLUTION AGENCY,MEDIA PRODUCTION,tv advertising
Club for Growth,phone solicitations (from advance line 21),phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Mountaintop Media,Radio Ad -- NATIONAL -- NOT STATE SPECIFIC,radio advertising
DDC Advocacy,Online advertising,online advertising
Laura Dragon,Office Rent,rent
REVOLUTION AGENCY,MEDIA PRODUCTION - ALSO OPPOSES RUBIO AND KASICH,tv advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
"King Strategic Communications, Inc.",Mail,mail voter contact
"Planned Parenthood Advocates of IN and KY, Inc.","Travel-Phone Bank, Estimate",travel
Warfield and Company,"TV Ad production, placement costs, Trump or Consequence-Obamacare",tv advertising
RIGEL STRATEGIES LLC,MEDIA,radio advertising
American Action News Llc,August/September Monthly Online Advertising Fees,online advertising
AMERICANS FOR PROSPERITY,Canvassing expenses,canvassing
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Image Pointe,T-shirts,promotional
North Wood Advertising,Radio,radio advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Phone2Action,Website development supporting Ron Johnson.,website development
"Outlaw Media, LLC",Online Advertising Production,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Matthew Covington,"staff time, voter contact, mileage, food for volunteers",food
Image Pointe,Estimated Cost:  T-shirts,promotional
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Mountaintop Media,Mountaintop Media,tv advertising
"West Virginians for Life, Inc.",Postage,mail voter contact
Margin of Victory Partners LLC,Phone Campaign,phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Club for Growth,"mail production costs, postage (from advance line 21)",mail voter contact
Make DC Listen,Donation Processing,donation processing
Pinpoint Media LLC,Media Placement - TV/Cable/Digital (Paid 1/28/2016-Previously Disclosed),tv advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
i360,Predictive dialer minutes,phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Make DC Listen,Donation Processing,donation processing
"Outlaw Media, LLC",media production-also opposes Trump,tv advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
"WildFire Contact, LLC",Direct Mail,mail voter contact
ELead Resources,Printing & shipping,promotional
HSP Direct LLC,Direct mail creative fee estimate of nationwide DM opposing Hillary Clinton. DMs sent on 2/22/16.,mail voter contact
Carter Printing Company,Door Hangers,promotional
Katrina S Bragg,Deliver Mailings,mail voter contact
Tusk Digital,online advertising,online advertising
STRIPES AGENCY LLC,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 11-10-15,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
"CCAN Media, LLC",Television advertising,tv advertising
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
Club for Growth,"TV ad production costs, Math",tv advertising
CLIENT FIRST CONSULTING GROUP LLC,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,phone voter contact
WESTLAND PRINTERS,FULFILLMENT ITEMS,promotional
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION,tv advertising
REDWAVE COMMUNICATIONS LLC,DIRECT MAIL POSTAGE,mail voter contact
American Media and Advocacy Group,Radio Media Buy,radio advertising
APUS MEDIA INC.,TV/MEDIA PRODUCTION,tv advertising
USPS,Postage,mail voter contact
"WildFire Contact, LLC",Direct Mail,mail voter contact
K&R Branding Solutions,Printing and Shipping - T-Shirts,promotional
RIGEL STRATEGIES LLC,MEDIA,radio advertising
Donor Bureau,Mailing list modeling for DM opposing Hillary Clinton (see 48 hr report filed on 1/8/2016),mail voter contact
"Revive America, LLC",voter contact-emails,email voter contact
"WildFire Contact, LLC",Direct Mail,mail voter contact
"King Strategic Communications, Inc.",MAIL,mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
Wilson Grand Communications,TV/Online Media Production,online advertising
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION,tv advertising
Club for Growth,internet communications (from advance line 21),online advertising
Mountaintop Media,Social Media Advertising,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
AMM Political,Phones,phone voter contact
"West Virginians for Life, Inc.",Printing Labels,mail voter contact
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION - ALSO OPPOSE TRUMP,tv advertising
Kelly Press,Printing and Design - Signs,promotional
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Mineral Daily News Tribune,Ad,newspaper advertising
Club for Growth,internet communications (from advance line 21),online advertising
Old Towne Media,Television Advertisement,tv advertising
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION,tv advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Kelly Press,Printing and Design - Signs,promotional
Facebook,Facebook ad,online advertising
"RIGHT STRATEGIES, LLC",ADVERTISING - ONLINE,online advertising
National Nurses United,Online Ad,online advertising
"West Virginians for Life, Inc.",Postage,mail voter contact
YOUTUBE,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 12-10-15,online advertising
"RIGHT STRATEGIES, LLC",ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
The Prosper Group Corporation,Digital Advertising - Google,online advertising
"Target Enterprises, LLC",media placement-also opposes Trump,tv advertising
Cyera Bonner,Paid Distribution - Another Feminist for Hillary,tv advertising
"Target Enterprises, LLC",online advertising,online advertising
"THE STONERIDGE GROUP, LLC",DIRECT MAIL PRODUCTION,mail voter contact
Tecre Co.,promotional buttons,promotional
The Prosper Group Corporation,Digital Advertising - Twitter,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT OVER SEVERAL WEEKS,voter contact
"On the Mark Direct, LLC",direct mail services,mail voter contact
Tusk Digital,online advertising,online advertising
Mountaintop Media,Radio Buy & Production,radio advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
USPS,Postage,mail voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Club for Growth,press release (from advance line 21),public relations
The Prosper Group Corporation,Digital Advertising - Google,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
Dr. Don's Buttons,Buttons,promotional
Human Rights Campaign,"Web/email content staff time, nationally distributed - $43.61 per state for 50 states",email voter contact
"King Strategic Communications, Inc.",MAIL,mail voter contact
USPS,POSTAGE,mail voter contact
"Postal Systems, Inc.",Postage,mail voter contact
Big Eye Direct,"mail production costs, postage",mail voter contact
Arena Online,Media placement,tv advertising
Hackney & Hackney,Media,tv advertising
Red Eagle Media Group,Media placement,tv advertising
A1 VAN AD ITEMS,FULFILLMENT ITEMS - CLOTHING,promotional
Hotels.com,Hotel for volunteers,travel
Fairmont Printing,Printing,promotional
GCW Media Services,Media placement,tv advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Thomas Bemak,Salary and Benefits,payroll
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
"Chris Mottola Consulting, Inc.",media production,tv advertising
"THE STONERIDGE GROUP, LLC",DIRECT MAIL PRODUCTION,mail voter contact
SPECTRUM MARKETING COMPANIES,DIRECT MAIL POSTAGE-ALSO OPPOSE TRUMP,mail voter contact
AMM Political,Phones,phone voter contact
Mountaintop Media,Media Production,advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Victricia Chandler,Estimated Cost for Operations Director Services 4/28-5/4,payroll
Waterfront Strategies,Television Advertising,tv advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Waterfront Strategies,Television Advertising,tv advertising
Human Rights Campaign,"Video production, staff time, nationally distributed - $8.58 per state for 35 states",tv advertising
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT OVER SEVERAL WEEKS,voter contact
Club for Growth,internet communication (from advance line 21),online advertising
Sierra Club,Web Endorsement,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
Apple Direct Mail Services Ltd.,postage - fundraising,mail voter contact
STRIPES AGENCY LLC,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 11-10-15,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
The Prosper Group Corporation,Digital Advertising - Twitter,online advertising
Strive Communications,mail production costs,mail voter contact
Gumbinner Davies and Simpson,"Adjusted payment of I.E. disseminated on 10/17/14,10/22/14,10/27/14. IDs B537029, B537739, B537740",amendment
"Target Enterprises, LLC",media placement,tv advertising
"WildFire Contact, LLC",Direct Mail,mail voter contact
Go BIG Media Inc,Media Buy,tv advertising
INTEGRAM,VOTER MAIL - PRINTING & MAILSHOP,mail voter contact
"Target Enterprises, LLC",media placement,tv advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
"First Tuesday Strategies, LLC",telephone calls,phone voter contact
MDI IMAGING & MAIL,DIRECT MAIL - PRINTING,mail voter contact
Pinpoint Media LLC,Media Buy - TV,tv advertising
Thomas Graphics Inc,IE-Glenn-Postage,mail voter contact
"MCCARTHY HENNINGS WHALEN, INC.",MEDIA PRODUCTION,tv advertising
Image Pointe,Estimated Cost:  Skullies,promotional
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
NOVA List Company,Mailing list brokerage fees for DM opposing Hillary Clinton (see 48 hr report filed 3/25/2016),mail voter contact
Staples,postage to publicize promotional event,mail voter contact
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
"Outlaw Media, LLC",Online Advertising Production,online advertising
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
"McNally Temple Associates, Inc.",Direct Mail Services; Dissemination Date 05/26/16,mail voter contact
The Prosper Group Corporation,Digital Advertising - Google,online advertising
Mountaintop Media,Media Buy,tv advertising
Konika Minolta Premier Finance,copying materials for organizing,business expense
Facebook,Advertising - Digital,online advertising
"Target Enterprises, LLC",media placement,tv advertising
Senate Conservatives Fund,IE-Lee-Donation Processing,donation processing
Big Eye Direct,"mail production costs, postage",mail voter contact
"McNally Temple Associates, Inc.",Direct Mail Services; Dissemination Date 05/20/16,mail voter contact
Adam Mason,staff time,payroll
The Prosper Group Corporation,Digital Advertising - Google,online advertising
ADZIG,FULFILLMENT ITEMS - DECALS,promotional
REVOLUTION AGENCY,MEDIA PRODUCTION,tv advertising
American Action News Llc,December Monthly Online Advertising Fees,online advertising
"SAVANNA COMMUNICATIONS, LLC",SOCIAL MEDIA ADVERTISING,online advertising
National Nurses United,Online Ad,online advertising
National Nurses United,Payroll,payroll
YOUTUBE,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-4-16,online advertising
Envision Printers/Marketing,IE-Lee-Direct Mail Production,mail voter contact
720 Strategies LLC,Online Ad Costs,online advertising
Old Towne Media,Television Advertisement,tv advertising
"Chris Mottola Consulting, Inc.",media production,tv advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
M+R Strategic Services,E-mail copywriting,email voter contact
Advantage Direct,PAC Voter ID Program,voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
Senate Conservatives Fund,IE-DeSantis-Donation Processing,donation processing
"West Virginians for Life, Inc.",Printing,promotional
CRYSTAL PRESS,BANNER,promotional
CAMPAIGN FUNDING DIRECT,AGENCY FEES - CONSULTING,consulting
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS OVER SEVERAL WEEKS,voter contact
Big Eye Direct,"mail production costs, postage",mail voter contact
Valley Press,Envelopes for DM opposing Hillary Clinton (see 48 hr report filed on 1/8/2016),mail voter contact
"Planned Parenthood Minnesota, North Dakota, South Dakota",Salary,payroll
CP DIRECT,PRINTING,promotional
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
Organize Now Inc,Canvassing Services,canvassing
Blueprint Interactive,Online Advertising,online advertising
Thomas J. Dekemper,Canvassing Consulting Services for 3/28-3/31,canvassing
Club for Growth,internet communications (from advance line 21),online advertising
"Norway Hill Associates, Inc.",direct voter contact/direct marketing,mail voter contact
The Prosper Group Corporation,Digital Advertising - Facebook,online advertising
"FREEDOM PARTNERS CHAMBER OF COMMERCE, INC.",EMAIL MARKETING EXPENSE,email voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,phone voter contact
SWIFTKURRENT,ADVERTISING - ONLINE,online advertising
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
Club for Growth,tv ad production costs (from advance line 21),tv advertising
Club for Growth,internet communications (from advance line 21),online advertising
OMEGA LIST COMPANY,LIST RENTAL EXPENSES,voter contact
Letter23,Convention materials and expenditures ,convention
"West Virginians for Life, Inc.",Travel/Deliver Mailings,travel
"SRCP Media, Inc.","Advertising - TV - also opposes Trump, Rubio",tv advertising
"Bronstein & Weaver, Inc.",Media - TV commercial,tv advertising
OnMessage Inc.,Media,advertising
Show Nets - Custom Internet Solutions,"Phone Bill-Phone Bank, Estimate",phone voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Arena Online,Digital Advertising,online advertising
Campus Coach Lines,Bus for volunteers,travel
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Monticello Media LLC,Advertising - Radio,radio advertising
EDDIE  FACEY,BROCHURES,promotional
Gloria Restrepo,Estimated Cost for Financial Management Services of Canvassing Prog. 4/28-5/4,canvassing
"West Virginians for Life, Inc.",Postage,mail voter contact
P+R Productions,Federal Video Ad Production,tv advertising
"Planned Parenthood Hudson Peconic Action Fund, Inc","Travel-Canvas, Estimate",travel
"Planned Parenthood Hudson Peconic Action Fund, Inc","Travel-Canvas, Estimate",canvassing
Martina Bryant,Estimated Cost for Canvassing Services 4/13-4/20,canvassing
Club for Growth,phone solicitations (from advance line 21),phone voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
Club for Growth,phone solicitations (from advance line 21),phone voter contact
Eduardo Garcia,Estimated Cost for Canvassing Services 4/13-4/20,canvassing
WESTLAND PRINTERS,FULFILLMENT ITEMS - BOOKS,promotional
USPS,Postage,mail voter contact
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
The Prosper Group Corporation,Digital Advertising - Twitter,online advertising
Armour Media,Television Production,tv advertising
NOVA List Company,Mailing list brokerage fees for DM opposing Hillary Clinton (see 48 hr report filed 1/8/2016),mail voter contact
INFOCISION MANAGEMENT CORP,VOTER CONTACT,voter contact
"Voter Contact Services, LLC","Voter contact - field staff, technology, and data management",voter contact
REDWAVE COMMUNICATIONS LLC,DIRECT MAIL PRODUCTION,mail voter contact
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAIL,mail voter contact
"On the Mark Direct, LLC",direct mail services,mail voter contact
