payee,purpose,classified
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
The Prosper Group Corporation,Digital Advertising - Twitter (Date Correction),
Petel & Company,Direct Mail Services,
Associated Students,Advertising,
OMEGA LIST COMPANY,LIST RENTAL EXPENSES,
"Staples, Dept 51-7811326924",paper for copying materials for organizing,
Club for Growth,"TV Ad production costs, Tough Guy",
Tusk Digital,online advertising-nationally disseminated,
"West Virginians for Life, Inc State PAC Fund",Postage,
Google,Digital Advertising,
SEIU General Fund,Estimated Cost:  Rally Signs,
The Printing Express ,GOTV Mailer,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
"Dr. Don's Buttons, Badges and Magnets",Printing - Another Feminist for Hillary,
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
The Prosper Group Corporation,Digital Advertising - Facebook/Google,
Precision Strategies,Research Memo,
AMERICAN LIBERTY GROUP,VOTER CONTACT CALLS,
YOUTUBE,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-27-16,
FRONTLINE POLITICAL STRATEGY,GRASSROOTS CONSULTING (NON-CONTRIBUTION ACCOUNT),
OATH STRATEGIES LLC,MEDIA PLACEMENT - ALSO OPPOSES KASICH AND RUBIO,
John Noble,data entry and voter contact,
Global Intermediate LLC,Direct Mail - Postage & Production,
Maria Rivero,Estimated Cost for Canvassing Services 4/13-4/20,
Rigel Strategies LLC,Radio Buy and Production,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Twitter Inc.,Digital Advertising,
"SRCP Media, Inc.",Advertising - TV,
Google Inc./Google AdWords,"Leadership Online Ad Placement (actual, not estimated)",
Tusk Digital,online advertising-nationally disseminated,
406 Enterprises LLC,Mobile advertising,
ActRight,Email Marketing,
Corporate Press Inc.,Printing and mailshop for DM opposing Hillary Clinton (see 48 hr report filed on 1/8/2016),
Facebook,Online Advertising Buy,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - ILLINOIS,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
REVOLUTION MEDIA GROUP,MEDIA PLACEMENT,
"WildFire Contact, LLC",Direct Mail,
"MCCARTHY HENNINGS WHALEN, INC.","MEDIA PRODUCTION - ALSO OPPOSES TRUMP, CRUZ AND RUBIO",
Senate Conservatives Fund,IE-Lee-Online Processing,
SEIU General Fund,Estimated Cost:  Rally Signs,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
SWIFTKURRENT,ADVERTISING - ONLINE,
RedPrint Strategy,Media production,
CLIENT FIRST CONSULTING GROUP LLC,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,
The Prosper Group Corporation (via Pinpoint Media LLC),Digital Advertising - Facebook/Google/Twitter,
National Nurses United,Payroll,
FACEBOOK,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-4-16,
Autumn Press,Printing,
Aqueelah Goins,Salary and Benefits,
REVOLUTION AGENCY,MEDIA PRODUCTION,
"New Day Media, LLC",Media Buy,
REVOLUTION AGENCY,MEDIA PLACEMENT,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Lydia Kelly,Salary and Benefits,
AMERICAN EXPRESS,"TELETOWN HALL ROOM, MEAL & MILEAGE",
Costco Wholesale,Estimated Cost for Canvassing Supplies 4/28-5/4,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
NOVA List Company,Mailing list brokerage fees for DM opposing Hillary Clinton (see 48 hr report filed 3/25/2016),
SWIFTKURRENT,ADVERTISING - ONLINE,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Campaign Solutions,Voter contact-email,
"WildFire Contact, LLC",Direct Mail,
STRIPES AGENCY LLC,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 11-10-15,
Bryan Cleveland,Website Graphics and Design,
Kelly Press,Shipping - Signs,
Ben Washburn,Literature Distribution (Updated to Actual),
Community Outreach Group LLC,Persuasion Canvasses-Estimated Costs,
Staples,IE-Lee-Printing,
"Digital Freedom, LLC",Advertising - digital,
Revolution Agency,"TV and Digital Media Effective Conservative in support of Bradley Byrne, 2/17 - 3/1.",
"Content Creative Media, LLC",Media - TV advertisement placement.,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - GEORGIA,
Julie Brown,Estimated Cost for Canvassing Services 3/28-3/31,
"GOP Swag, LLC",lapel pins,
MDI IMAGING & MAIL,DIRECT MAIL - POSTAGE,
Tusk Digital,online advertising,
Precision Network LLC,Digital Ad Buy,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"West Virginians for Life, Inc.",Labels,
"Thomas Graphics, Inc.",Bumper Sticker Printing,
Rising Tide Interactive,Online advertising-Estimated costs,
Tusk Digital,online advertising,
"CCAN Media, LLC",Television advertising,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
Collective Copy,Flyers,
SWIFTKURRENT,ADVERTISING - ONLINE,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
THE PRINTING EXPRESS,MAILING COSTS,
The Prosper Group Corporation,Digital Advertising - Twitter,
"Connection Strategy, LLC",Phone Bank,
DDC Advocacy,Voter contact-telephone calls,
Old Towne Media,Television Advertisement,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Tusk Digital,online advertising,
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
AXIOM STRATEGIES,MEDIA PRODUCTION / MEDIA PLACEMENT,
"Facebook, Inc.",Facebook Ads,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"SPL Strategies, LLC",Media production-nationally disseminated,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
The Prosper Group Corporation,Digital Advertising - Facebook,
Senate Conservatives Fund,IE-DeSantis-Donation Processing,
Bank of Tuscaloosa,Deluxe Business Checks,
Club for Growth,press release (from advance line 21),
SWIFTKURRENT,ADVERTISING - ONLINE,
Itzamna Translations Company,Translation fee,
Mountaintop Media,Social Media Buy,
RAPID RESPONSE TELEVISION LLC [MEMO ITEM],DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 10-21-15,
The Prosper Group Corporation,Digital Advertising - Google,
SWIFTKURRENT,ADVERTISING - ONLINE,
Club for Growth,internet communications (from advance line 21),
Planned Parenthood Votes New Mexico,"Travel-Phone Bank, Estimate",
Creative Response Concepts,press release distribution,
WRNO 99.5FM/iHeart Media,12/4 and 12/5 Radio Advertising,
M+R Strategic Services,E-mail copywriting,
Pret A Manger,"Kids Online Ad Placement (actual, not estimated)",
REVOLUTION AGENCY,MEDIA PRODUCTION,
Pinpoint Media LLC,Media Placement - TV/Cable/Digital,
Dr. Don's Buttons,Buttons,
SWIFTKURRENT,ADVERTISING - ONLINE,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"Facebook, Inc.",advertising for youth conference,
SRCP MEDIA INC. PRODUCTION,MEDIA PRODUCTION,
GATEWAY MEDIA,,
Big Eye Direct,"mail production costs, postage",
ADZIG,PRINTING,
CONSOLIDATED MAILING SERVICES,VOTER MAIL,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
Sierra Club,Web Endorsement,
Mason Video,Online Ad Production,
"SRCP Media, Inc.",Media Buy,
"West Virginians for Life, Inc.",Deliver Mailings,
ELead Resources,Printing,
"Mundy Katowitz Media, Inc.",Radio Media - 'Community',
Amerimail Digital Direct,Direct Mail,
Senate Conservatives Fund,IE-Stutzman-Donation Processing,
Joshua Lewis,Salary and Benefits,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - MISSOURI,
Club for Growth,internet communications (from advance line 21),
VICTORY MEDIA GROUP,TELEMARKETING,
Club for Growth,tv ad production costs (from advance line 21),
"STRATEGIC PARTNERS & MEDIA, INC.",TV/MEDIA PRODUCTION,
RIGEL STRATEGIES LLC,MEDIA,
Hart Research Associates,Persuasion calls,
Hayden Printing,Printing for Candidate Support Mailing,
"West Virginians for Life, Inc.",Postage and Printing,
David McDougal,Estimated Cost for Field Director Services 5/5-5/15,
CAMPAIGN SOLUTIONS,ESTIMATED ONLINE VOTER CONTACT FOR JUNE,
REDWAVE COMMUNICATIONS LLC,DIRECT MAIL POSTAGE,
"PP Advocacy Fund of Massachusetts, Inc.","Travel-Phone Bank, Estimate",
EXORO STRATEGIES LLC,ONLINE ADVERTISING,
"RIGHT STRATEGIES, LLC",ADVERTISING - ONLINE,
Dr. Don's Buttons,Buttons,
USPS,Postage,
Strategy Group for Media,Ad production,
Atlas Direct Mail,direct mail express advocacy communication,
REVOLUTION AGENCY,MEDIA PLACEMENT,
The Pivot Group,Newspaper Advertising Design,
API,T-Shirts/Stickers/Buttons,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS OVER SEVERAL WEEKS,
ELEVENTY MARKETING GROUP LLC,eMAIL VOTER CONTACT,
Itzamna Translations Company,Translation fee,
Left Hand Design,PAC Graphic Design-See 1-13 IE,
Senate Conservatives Fund,IE-DeSantis-Donation Processing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Merrill Miller,household of Merrill Miller - in kind contribution of organizing materials,
Creative Response Concepts,press release distribution,
USPS,Postage,
Waterfront Strategies,Media Buy (Blackhawk),
"West Virginians for Life, Inc.",Travel/Deliver Mailings,
Carnegie Shell,Gas,
Waterfront Strategies,Media Buy,
Thomas Graphics,PAC Printing,
"West Virginians for Life, Inc.",Travel/Deliver Mailings,
Main Street Media Group,Advertising - TV,
REVOLUTION AGENCY,"MEDIA PRODUCTION - ALSO OPPOSES RUBIO, KASICH AND CHRISTIE",
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Club for Growth,internet communications (from advance line 21),
"McCarthy Hennings Whalen, Inc.",Media production,
"CCAN Media, LLC",Television advertising,
CAMPAIGN FUNDING DIRECT,AGENCY FEES - ONLINE,
Sierra Club,Web Endorsement,
"Victory Enterprises, Inc.",Online Advertising - Facebook,
The Prosper Group Corporation,Digital Advertising - Twitter,
SWIFTKURRENT,ADVERTISING - ONLINE,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
The DVC Inquirer,Ad,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"WildFire Contact, LLC",Direct Mail,
SKDKnickerbocker,Media Production Costs,
Content Creative Media,Media - TV advertisement placement.,
FUSE,Radio Ad Production,
"Planned Parenthood Minnesota, North Dakota, South Dakota",Fringe benefits,
EXORO STRATEGIES LLC,ONLINE ADVERTISING,
Senate Conservatives Fund,IE-Lee-Donation Processing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Image Pointe,Estimated Cost:  Skullies,
Club for Growth,phone solicitations (from advance line 21),
TARGETED VICTORY,ONLINE ADVERTISING,
RICHARD QUINN & ASSOCIATES,MESSAGE PHONE CALLS,
FACEBOOK,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 1-4-16,
REVOLUTION AGENCY,MEDIA PLACEMENT,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Fulfillment House,Postage for direct mail opposing Hillary Clinton (see 48 hr report filed 2/24/16),
Club for Growth,internet communications (from advance line 21),
DSSI,VOTER MAIL - DATA PROCESSING,
Precision Strategies,Press Tipsheet,
"Target Enterprises, LLC",online advertising-also opposes Trump and Cruz/ad change,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - TENNESSEE,
OATH STRATEGIES LLC,MEDIA PLACEMENT,
"Target Enterprises, LLC",media placement-also opposes Trump and Cruz,
THE LUKENS COMPANY,DIRECT MAIL EXPENSE,
Koor Communications,Advertising - Radio,
INFOCISION MANAGEMENT CORP,VOTER CONTACT,
Senate Conservatives Fund,IE-Stutzman-Donation Processing,
Beacon Media,"Web Video, nationally distributed - $42.29 per state for 44 states",
Google,Digital Advertising,
Old Towne Media,Advertisement,
Kelly Press,Printing and Design - Signs,
Kelly Press,Printing and Shipping - Rally Signs,
CLIENT FIRST CONSULTING GROUP LLC,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Beth Rader,Payroll & Benefits - Vote for Hillary (estimated),
Campaign Solutions,July Monthly External Deployment Costs,
FORTHRIGHT STRATRGIES INC,VOTER CONTACT MAILING,
"Target Enterprises, LLC",media placement,
"Outlaw Media, LLC",Online Advertising Production,
CLIENT FIRST CONSULTING GROUP LLC,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,
"HenryAlan, LLC","mail production costs, postage",
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Mountaintop Media,Media Production,
"WildFire Contact, LLC",Banner,
Club for Growth,digital ad production costs (from advance line 21),
Arianna Kendall,Payment for Canvassing Services 3/28-3/31 as Disclosed on 3/30 48-Hour Report,
Christian Printing,Direct Mail,
Aledo Grafix,PAC Promotional Items,
The Prosper Group Corporation,Digital Advertising - Google,
"Public Concepts, LLC",voter contact-telephone calls,
Senate Conservatives Fund,IE-Stutzman-Donation Processing,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Senate Conservatives Fund,IE-Lee-Online Processing,
The Prosper Group Corporation,Digital Advertising - Twitter,
INFOCISION MANAGEMENT CORP,VOTER CONTACT OVER SEVERAL WEEKS,
STMP,Postage for direct mail opposing Hillary Clinton (see 48 hr report filed 12/18/2015),
K&R Branding Solutions,Printing and Shipping - Banners,
Senate Conservatives Fund,IE-Duncan-Donation Processing,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
EXORO STRATEGIES LLC,ONLINE ADVERTISING,
EXORO STRATEGIES LLC,ONLINE ADVERTISING,
REVOLUTION AGENCY,MEDIA PRODUCTION,
Michael Begin,Salary and Benefits,
ECG DATA CENTER,DIRECT MAIL - LIST MAINTENANCE,
Staples,IE-Stutzman-Printing,
The Prosper Group Corporation,Digital Advertising - Google,
CAF- PP Orange & San Bernardino Counties,"Travel-Phone Bank, Estimate",
"First Tuesday Strategies, LLC",voter contact-telephone calls,
"DOBIS, LLC ",Video Production ,
Melissa Grooters,voter contact,
ADZIG,FULFILLMENT ITEMS - BUTTONS,
SWIFTKURRENT,ADVERTISING - ONLINE,
"Target Enterprises, LLC",media placement,
"Precision Network, LLC","Media Buy Digital (Previously reported as est. of $179,009.45)",
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Bookbag Video,Press Release/Social Media Video,
MAJORITY STRATEGIES INC,PRINTING,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"West Virginians for Life, Inc.",Deliver Mailings,
Staples,IE-Lee-Postage,
OATH STRATEGIES LLC,MEDIA PLACEMENT,
SWIFTKURRENT,ADVERTISING - ONLINE,
"Outlaw Media, LLC",Online Advertising Production,
"GrassRoots Unwired, Inc.",Tablets and Web Fees,
The Prosper Group Corporation,Digital Advertising - Twitter,
"Connection Strategy, LLC",Phone calls,
Planned Parenthood Votes South Atlantic,"Travel-Phone Bank, Estimate",
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Emily Harmon,staff time and voter contact,
HSP Direct LLC,Creative fee for direct mail opposing Hillary Clinton (see 48 hr report filed 12/02/2015),
FORTH RIGHT STRATEGY INC,VOTER MAIL,
DDC Advocacy,Voter contact-telephone calls,
DDC Advocacy,Online advertising,
Senate Conservatives Fund,IE-Stutzman-Donation Processing,
The Prosper Group Corporation (via Pinpoint Media LLC),Digital Advertising - Facebook,
CP DIRECT,FULFILLMENT ITEMS - BOOKLETS,
"McCarthy Hennings Whalen, Inc.",Media production,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Red Eagle Media Group,Media placement,
USPS,Postage,
Club for Growth,press releaes (from advance line 21),
"Mission Control, Inc.",Direct Mail of 'Gap' - ESTIMATE,
Senate Conservatives Fund,IE-Davidson-Donation Processing,
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
FACEBOOK,DIGITAL MEDIA PRODUCTION/PLACEMENT - SEE RED METRICS 12-10-15,
Mountaintop Media,Social Media Advertising,
HSP Direct,Direct mail creative fee adj. pymnt of nationwide DMs sent on 12/18/15.,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"WildFire Contact, LLC",DIrect Mail,
GOOGLE,DIGITAL MEDIA PRODUCTION/PLACEMENT - NORTH CAROLINA,
The Prosper Group Corporation,Digital Advertising - TubeMogul,
USPS,POSTAGE,
Red Eagle Media Group,Media placement,
720 Strategies LLC,Online Ad Costs,
"Staples, Dept 51-7811326924",paper for copying materials for organizing,
SWIFTKURRENT,ADVERTISING - ONLINE,
Blueprint Interactive,Online Advertising,
Minuteman Press,Flyers,
USPS,Postage,
Christian Printing,Direct Mail,
"Facebook, Inc",Digital Advertising,
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
Chatham Light Media LLC,Video Production,
Club for Growth,press release (from advance line 21),
EXORO STRATEGIES LLC,WEB AD PLACEMENT,
DSSI,VOTER MAIL,
Cornerstone Staffing,Phone Banking,
BIEBER COMMUNICATIONS,DIRECT MAIL - PRINTING,
Kelly Press,Printing and Design - Signs,
Google,Digital Advertising,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
"THE STONERIDGE GROUP, LLC",DIRECT MAIL POSTAGE,
"Victory Enterprises, Inc.",Online Advertising - Facebook,
REVOLUTION AGENCY,MEDIA PRODUCTION - ALSO OPPOSE KASICH AND CHRISTIE,
Club for Growth,email costs (from advance line 21),
Latino Print Network,Ad,
"New Day Media, LLC",Media Buy,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
Facebook,Advertising,
Corporate Press Inc.,Printing estimate of nationwide DMs sent on 12/18/15.,
Woodland Hills Printing,Banners,
Senate Conservatives Fund,IE-Stutzman-Donation Processing,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
THE LUKENS COMPANY,DIRECT MAIL EXPENSE,
"i360, LLC",Phone Bank-Cost Estimated,
Gaylynn Burroughs,Payroll & Benefits - Another Feminist for Hillary,
USPS,Postage,
Club for Growth,internet communications (from advance line 21),
INFOCISION MANAGEMENT CORP,VOTER CONTACT CALLS,
"Outlaw Media, LLC",media production,
Club for Growth,internet communications (from advance line 21),
Rigel Strategies LLC,PAC Radio Advertising,
"RIGHT STRATEGIES, LLC",ADVERTISING - ONLINE,
VICTORY PHONES,ROBOCALLS - MICHIGAN,
Herald Publishing Company,Newspaper Advertisement,
Iowa Farner Today,Newspaper Advertisement,
SRCP Media,Media production,
76 Words,Pymt. for IE (B595399) rptd. on 2016 FEC M3 rpt.; note corrected amt.; see SchD and text on page 16,
Forever Media,Advertising - Radio (also supports Ted Cruz),
"West Virginians for Life, Inc.",Printing,
Targeted Victory,online advertising,
DDC Advocacy,Online advertising,
RIGEL STRATEGIES LLC,MEDIA,
NOVA List Company,Mailing list fees for mail opposing Hillary Clinton (mailed 3/9/2016 but no 48 hr report filed),
Screen Strategies Media,Cable Advertising: People First,
Club for Growth,phone solicitations (from advance line 21),
Campaign Solutions,Voter contact-email,
"West Virginians for Life, Inc.",Travel/Deliver Mailings,
FORTH RIGHT STRATEGY INC,VOTER CONTACT MAIL,
SWIFTKURRENT,ADVERTISING - ONLINE,
Make DC Listen,Donation Processing,